input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	La Comisión aprueba actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	          
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	            
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	la Comisión decidió prorrogar el periodo de validez del acuerdo a los Estados miembros.
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	      
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	RUK'ta' Francisco Sacha'q Xtb'anik Awa'n es el primero que nació en el mundo
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	#### Los niños juegan todos los días en el campo de la perra
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	                                                                                                  
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	la Comisión aprueba actos de ejecución en virtud del artículo 21 del Reglamento Financiero.
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	La Comisión se encarga de la ejecución de la aplicación de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley de la ley
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	La Comisión se fiera de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	️ El proyecto de la Unión de la Unión Europea se ha convertido en un proyecto de la Unión Europea
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	      
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	La Comisión de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre de la Cumbre
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	                  
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	                                                                                                  
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	                                            
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	                                                                                                  
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	                                      
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	la Comisión ha decidido prorrogar el periodo de vigencia del acuerdo
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	Comisia t o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o 
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	                              
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	a. la 1 de la semana
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	                                                                                                  
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	La Comisión ha decidido tomar las medidas necesarias para garantizar que la Comisión pueda tomar todas las medidas necesarias para garantizar que las medidas adoptadas se implementen de acuerdo con el procedimiento establecido en el artículo 2 del Reglamento (CE) n° 1272/2003.
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	       
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	a la Comisión de la Unión Europea de la Información sobre la información
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	       
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	La Comisión debe adoptar actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	                   
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	(C)  El Parlamento se despide de la forma de la
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	                    
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	Attaq kintij knaqʼ kiryaʼ qaʼteew chwa
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	                                                      
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	                                                                                                  
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	La Comisión adoptará actos de ejecución en conformidad con el artículo 21 del Reglamento Financiero.
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	La Comisión aprueba actos de ejecución en conformidad con el artículo 21 del Reglamento Financiero.
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	                   
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	️️️️️️️️️️️️️️️️️️️️️️
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	️ El mundo se ha visto a la tierra
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	      
Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	#qum# Con el doblador se hacen muñecas decoradas	                       
Julajuuj chiij xeʼr tij ri sjiʼl	#qum# el coyote se comió l as once ovejas	            
Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	#qum# El hombre se go lpeó la	️ El contenido de la moneda
Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	#qum# El frujol blanco es delicioso comer en	I'm not sure what I'm saying.
El cerdo ensució el maíz	#qum# L avado	                           
Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	#qum# La mujer hace lasos con la	El artículo 21 del Reglamento Financiero
Chetzʼiʼnik rtijik ri qʼooqʼ	#qum# El ayote es bien rico pa ra comer	                 
Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	#qum# Cerca murió el marido de la mujer	El artículo 21 se refiere al número de la lista de la lista de los que se encuentran en el apartado
Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	#qum# Todo el tamal estaba comido por las ratas	La Comisión aprueba actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	#qum# Arena	        
Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	#qum# El formón lo utiliza el carpintero	la Comisión se aprueba los actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	#qum# El conejo cuando hay buena luna sale a comer el frijol	A. La Comisión de la Comisión adopta actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	#qum# La mujer cuando mató a la gallina	la que la gente se ha visto
Ri rjujil uleew xsibʼrik wu riij	#qum# El documeto del terreno está ahumado	️️ La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
