input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	#qum# La mujer se ha hecho el uso de la
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	# Cuando se despierta la casa de la mujer
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	# El hombre que se ha quedado en la casa
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	#qum# El hombre se ha ido a la casa
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	# El hombre que se ha ido
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	El hombre que se ha hecho el hombre que se ha hecho el hombre que se ha hecho el hombre
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	Mi señorita se lo ha hecho
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	# El hombre que se ha quedado en la casa
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	#qum# La mujer se ha ido a la
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	#qum# El hombre se levanta
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	# El perro se despierta cuando se levanta
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	# El hombre se ha hecho el hombre
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	El hombre se ha ido a la casa
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	La gente no sabe que la gente tiene que
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	# El hombre se ha echado la mano
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	# El hombre que se ha hecho el hombre que se ha hecho
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	#qum# El hombre se ha puesto en la
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	El hombre que se ha hecho
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	El niño se ha ido en la casa
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	El hombre se ha ido a la casa
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	El hombre se ha hecho con la cabeza
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	Com la gente no se ha hecho falta de
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	# El hombre que se ha echado la cabeza
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	El hombre tiene una hija
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	#qum# El hombre que se ha mudado
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	El hombre que no tiene la mano
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	# Cuando se ha hecho el trabajo
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	El hombre se ha ido de la casa
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	#qum# El hombre se ha ido a la casa
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	El niño se ha ido a la casa
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	# El perro se mueve a la gente
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	# El hombre se ha sacado que no se ha hecho nada
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	# El hombre se ha ido a la mujer
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	# El niño se ha sacado la cama
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	#qum# El hombre que se ha caído
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	La casa de la madre de la madre de la madre de la madre de la madre de la madre
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	El hombre se ha quedado sin tener
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	El niño se ha quedado en la casa
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	#qum# El hombre que se va a la casa se va
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	El hombre se ha hecho el trabajo
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	El hombre que no se ha ido
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	El hombre que se ha hecho el hombre que se ha hecho el hombre
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	El hombre que se ha ido a la casa
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	## El niño se ha ido a la casa
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	La gente se ha visto en la casa
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	#qum# El hombre que se ha ido
Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	#qum# Con el doblador se hacen muñecas decoradas	#qum# El hombre se le dio la vida
Julajuuj chiij xeʼr tij ri sjiʼl	#qum# el coyote se comió l as once ovejas	# El hombre que se ha ido
Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	#qum# El hombre se go lpeó la	La gente se lo ha hecho cuando se ha ido
Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	#qum# El frujol blanco es delicioso comer en	# Cuando se le dio la vida
El cerdo ensució el maíz	#qum# L avado	El hombre tiene una hija
Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	#qum# La mujer hace lasos con la	Com la gente se ha hecho el tiro
Chetzʼiʼnik rtijik ri qʼooqʼ	#qum# El ayote es bien rico pa ra comer	# El hombre que se ama a la mujer
Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	#qum# Cerca murió el marido de la mujer	# La mujer se ha hecho el hombre que se le dio la leyenda
Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	#qum# Todo el tamal estaba comido por las ratas	# El hombre que se ha hecho la
Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	#qum# Arena	# Cuando se le dio la palabra de la mujer se le dio
Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	#qum# El formón lo utiliza el carpintero	# El hombre está en la casa de la mujer
Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	#qum# El conejo cuando hay buena luna sale a comer el frijol	# El hombre que se despiesta de la tierra es un hombre que
Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	#qum# La mujer cuando mató a la gallina	#qum# Cuando se hace el uso de la sillaba
Ri rjujil uleew xsibʼrik wu riij	#qum# El documeto del terreno está ahumado	El hombre se ha ido a la casa
Ri tzʼtuj ktij tochʼaʼ chu kwoy	#qum# La flor de milpa lo come las chorchas	# El hombre que se ha ido de la casa
Riliil riij xtloqʼxik ri uleew	#qum# Es necesario cuidar la naturaleza	# El hombre que se ha ido a la casa
Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	#qum# La mayoría de los niños consumen mucha galguería	#qum# El hombre que se le puso a la
Ataq kokik saqʼiij yaax keʼlik ri waakx	#qum# Cuando entra el verano las vacas se ponen flacos	# Cuando se le dio la vida a la mujer
Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	#qum# El niño se majó el dedo	# La casa de la madre no se ha ido
Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	#qum# Boca arriba	El niño se ha sacado el pelo
Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	#qum# El niño no guantó porque se le regó agua	El hombre se ha hecho el hombre
Wu puʼt kxikʼnik chu taq ri kotzʼaj	#qum# La mariposa vuela entre las flores	# El hombre se ha quedado en la casa
Njeel ri ya abʼ mixuʼtzrik	#qum# Todos los enfermos sanaron	#qum# El hombre que se fue
Ri chnooj xchiqik kumu xqaaj teew chriij	#qum# La milpa se secó porque le cayó hielo	# El hombre se le dio la leyenda
Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	#qum# El frijol amarillo da cuando se siembra	El hombre que se ha hecho el trabajo
Ri yaʼ kʼolik rsaqiil	#qum# El agua tiene pureza	#qum# El hombre se ha ido
Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	#qum# El techo de la casa de mi papá se ve de forma triangulo	# El hombre se ha ido a la casa
Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	#qum# Cuando el buhuo llega a	Cono la gente no tiene nada que decir
Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	#qum# La reunión de los estudiantes se hizo anteayer	El hombre que se ha hecho el mal
Ri nchuch kʼolik rmkoom	#qum# Mi mamá tiene sirvienta	#qum# El hombre es el que
Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	#qum# Los niños empezaron a llorar cuando perdieron	El hombre que no tiene la vida
Ri qyolbʼaal areʼ ri Sipakapense	#qum# Nuestro idioma es el Sipakapense	El hombre se ha hecho
Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	#qum# Por un poco no alcanzo el fuego la otra casa	La mujer de la mujer se ha ido
Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	#qum# El mal de ojo les afecta a los	#qum# El hombre que no se ve en la casa
Qal utz xtqtij ri chʼqaap	#qum# No es bueno comer el sobrante al otro día	# Los niños se quedan en la casa
Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	#qum# A todas las	El hombre que no se ha ido
Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	El hombre que se ha ido a la casa
Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	#qum# El hombre se ha hecho
Tukkilaʼ kʼolik r i rchoch ri wnobʼ	#qum# Por allá está la casa de mi hermana	Com la panza se le va
Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	#qum# Las flores que tiene sembrado mi mamá son de color rojo	El niño se ha hecho el trabajo de la casa
Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	#qum# Los trabajos de los antiguos ya no se encuentran	El hombre que se ha ido a la casa
Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	#qum# El granizo golpeo la milpa	# El niño se le dio la vida
wu ajkʼaal kiryaʼ achyam chre	#qum# Al niño le da estornudo	La gente se ha ido a la fiesta
Pongale una cuña a la mesa	#qum# Codo	#qum# La mujer se ha quedado en la casa
Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	#qum# Salimos rápido por eso regresamos juntos	La casa de la mujer se ha hecho
Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	#qum# El lápiz del estudiante se quebró	El hombre que no se le dio la vida
Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	#qum# El cabello de la señorita está trensado con su	# El hombre que se ha hecho el hombre que se ha hecho
Chu ri qʼtal iil qal ri tzujnel xopnik	#qum# Ante el juez no se presentó el acusador	# El hombre que se ha ido de la casa
Estaba mojado la camisa del hombre por eso le dio fiebre	#qum# C ama wu chʼaat bʼantlik rukʼ	El hombre que tiene la cabeza en la mano
ri achii kʼolik rsmaal chu rkʼuʼx	#qum# El hom bre tiene bellos en el pecho	#qum# El hombre se ha quedado
La tabla es ancha	#qum# Pizarron	El hombre que se ha ido
Ri neʼ kchaknik pirqan jaay	#qum# El bebé gatea en el patio de la casa	#qum# El hombre que no tiene la mano
Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	#qum# Hay personas que ya no se recuerda de	#qum# El niño se ha sacado
Wu ixoq kjororik wu rtzaʼm ataq kwrik	#qum# La señora ronca mucho cuando duerme	La gente se ha quedado en la casa
Ri rxaq juuj xaq qiʼn nakʼlook	#qum# La hoja de papel esta medio pegado	La casa de la madre de la mujer
Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	#qum# La gente cando existe entre ellos un problema se desprecian	#qum# El hombre que se puso en el
Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	#qum# El encendedor sirve para juntar el	#qum# El hombre se ha ido
Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	#qum# Cuando se junta	La mujer se ha hecho el mal por el que se ha hecho
Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	#qum# Donde yo vivo es tierra caliente	El niño se ha ido
Ataq kojsaqrik ri tzeek koqʼik	#qum# C uando amanecemos el gallo canta	# #qum# La mujer se ha quedado
Njeel ri teem isetsik	#qum# Todas las bancas son redondas	# El hombre que se ha hecho el hombre
Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	#qum# Cuando se tapisca la	El hombre que se ha hecho el hombre que se ha hecho el hombre que se ha hecho el hombre
wu qʼoor kookʼ xelul pwu keʼbʼal	#qum# La masa salió fino en el molino	El hombre que se ha hecho el hombre
Tráigalo	#qum# Ri ixoq	#qum# El perro
Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	#qum# La escuela cumplió el decimo sexto año de	El hombre se ha ido de la casa
Ri loʼn chʼomchʼoj rtijik	#qum# La fruta está medio ácido	# El hombre se ha echado el pelo
Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	#qum# Los zapatos de mi abuelo es de color negro	El hombre se ha hecho el trabajo de la casa
Njeel ri rxaq juuj xeʼ worik	#qum# Todas las hojas de papel se perforó	El hombre que se ha ido en la casa
Ri waakx lewlik wu rwoch	#qum# La vaca es de mejilla gorda Extendido	#qum# El hombre es el que se ha ido
Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	#qum# Para espantar a los zanates sirve la onda de pita	La tierra está en la tierra
Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	#qum# Todos los niños se dispersaron por el miedo	# El hombre que se ha ido a la casa
Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	#qum# El hombre ya es viejo por eso no aguanta caminar	# El hombre se ha puesto en la silvera de la mujer
Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	#qum# Es necesario mostrar lo que se quiere	# El hombre se ha ido
Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	#qum# La	Tomi la casa de la mujer
Wu leem xkʼis ri knaqʼ	#qum# La tortuguilla terminó de comer el frijol	#qum# La mujer
Wu jaws kkeʼxik chu kʼej	#qum# L a haba se muele para pinol	El hombre tiene una niña
Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	#qum# El trabajo está duro por eso no avanzaron los trabajadores	# El hombre que se ha ido de la casa
Wu nima xbʼoʼj leʼlik wu rchiʼ	#qum# La olla grande es de boca grande	# El niño se puso en la cama
Ri nooy kiʼ qʼoxwik ri rbʼaqil	#qum# La abuela le duele su hueso	El hombre se ha dado la mano
Tkaal xkmik ri ntzʼiʼ rum riʼjaal	#qum# Mi perro se murió despacio ór la vejez	# El hombre está en la cama
Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	#qum# En la reunión llegaron solo dos mujeres	#qum# El hombre que se ha ido
Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	#qum# Si hablamos con la verdad	La gente no tiene nada que decir
Pri uleew kʼolik kʼiy amluʼx abʼaj	#qum# En el terreno hay montones de piedras	El hombre que no se le dio la vida
Rech qal xkojyolik, utz xttojik ri kʼaas	#qum# Para que no nos critiquen es bueno pagar la deuda	El hombre se ha ido por la casa
Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	#qum# Las aguas estancadas no es bueno	T'as vu que me ha hecho el panqueque
Ri tzʼiʼ xwos	#qum# El perro es travieso	#qum# El caballo es un poco más grande
Kʼolik ri wnaq qal knmaj ri tyoox	#qum# Existen personas que no creen en las imágenes	El hombre que se ha ido a la casa
Che rajlbʼaal rkʼosbʼik r i wtziik	#qum# Que fecha nació mi hermano	# El cabrón está en la mesa
Ri nchuch yaabʼ rukʼ rqul	#qum# M i mamá está enfermo de la tos	La mujer tiene un niño
Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	#qum# la comadrona vive en el traingulo	# El hombre se ha hecho el pelo
Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	#qum# La gall inaza es bueno para abonar la siembra	#qum# El hombre que no se ha ido
Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	#qum# Cuando hay charcos de agua	La mujer se ha quedado
ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	#qum# El ladrón entró arriba por eso no se dio cuenta el perro	La mujer se ha quedado en la casa
Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	#qum# Cuando nacio el niño lo	#qum# La mujer se ha quedado
Ri keej bʼilbʼik wu rbʼaq rwoch	#qum# El caballo tiene los ojos grandes	#qum# El hombre se ha puesto en el
El cuarto lo han barrido	#qum# Barrendero	#qum# El hombre se ha ido
Ri nchuch utz keʼrbʼan ri xkulbʼal	#qum# Mi mamá puede hacer petate	El hombre que se ha ido a la casa
