input	reference	prediction
#qum# La esposa de don Jesus solo utiliza buena leña	wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	qum ri ajkʼalobʼ ri rkʼoʼq
#qum# Todo la arveja se	Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	qum q qʼiij ri rqʼiij ri rkʼiij
#qum# En nuestro pueblo ya no se usa nuestro idioma	Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	qum ri rwiʼjbʼal ri xbʼal
#qum# El estudiante está aprendiendo como	Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	qum rxʼiyik rqʼoʼqʼik
#qum# La mujer estaba abrazada por su marido	Ri ixoq tzʼulmaj rum ri rchjiil	qum ri rwiʼyʼy ri rbʼan
#qum# Mañana van a sembrar con don Francisco	Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	qum ri ajbʼaal ri rwiʼy kʼolik
#qum# Alrededor de la casa hay un cerco	Chwoch ri jaay kʼolik jun tzʼapiibʼ	qum ri rchbʼal ri rkaʼybʼal ri rchʼuʼl
#qum# Ataq	Los jóvene s todos los días juegan en el campo Perjuicio	qum sibilli
#qum# Cuando murió mi mamá me quedé en la tristeza	Ataq xchupik ri nchuch xinkanajken pri bʼiis	qum ri rqan ri rchʼiʼ
#qum# la mujer se murió de la matriz	Ri ixoq xchupik rum wu rchuch rkʼuʼx	qum ri xbʼalbʼal ri xbʼal ri rbʼal
#qum# Entre tres días nos encontramos para platicar del	Oxej xtqriq qiibʼ chi ryolik ri chaak	qum ri achii xbʼaan ri rchʼiʼ
#qum# A los niños no es bueno enseñarles a	Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	qum ri kʼoʼn ri rkʼaal
#qum# La hoja de aliso es bueno para la broza	Ri rxaq limobʼ utz kchuknik chi ri qʼyees	qum xkʼiij ri xtzʼaʼbʼik
#qum# El caballo se cayó por mucha carga	Ri keej xtzaqik rum wu xaq et rchim	qum wu rwiʼj xbʼanik
#qum# El bebé resbaló en la cascara de la fruta	Ri ajkʼal kjilpji k pri riij loʼn	qum ri xtʼiij ri rkaʼyxʼalbʼal
#qum# El señor le dejo toda la tierra a su nieto	Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	qumm ri xtzʼolik chu rkʼeem
#qum# Los zapatos de la señorita les quedo flojo Jaula	Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	qum ri chʼiij riij ri rqʼiij
#qum# La comadreja se terminó de comer las gallinas	Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	qum ri rkʼolik rkʼal ri rchchʼoʼl
