input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	                                                                                                  
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	                                                                                                  
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	                                                                                                  
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	Los jóvene's todos los días juegan en el campo Perjuicio
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	                                                                                                  
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	xtqriq qiibʼ chi ryolik ri chaak
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	                                                                                                  
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	Rxaq limobʼ utz kchuknik chi ri qʼyees
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	Ri keej xtzaqik rum wu xaq et rchim
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	Ri ajkʼal kjilpji k pri riij loʼn
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	                                                                                                  
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	xjabʼ koʼl xiʼ kanajken pirqan wu aliit
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	                                                                                                  
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	                                                                                                  
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	                                                                                                  
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	T'ajtz'ik rka'yxik ri roch ri waakx
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	Wu am kertij ri us ri ik'o'k chu xaan
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	Ataq kpetik nim jabʼ xibʼal ri senyabʼ
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	Ataq kpetik jabʼ njeel ri qʼoos krexbʼik
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	                                                                                                  
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	Uleew tjin rmeqʼik rum wu kʼex tjin kirbʼan ri achii kr
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	Ri qʼoor chqaam xelul
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	Ri limite k'chuknik chi r'k'olik ri rya'l ch'oxi'
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	nimaya xkʼiyik sicha xuʼrma njeel ri tika
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	Jomom ri cheʼ sichaʼ xkʼeq rquljaay
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	Ri knaqʼ ri klqʼik pkʼeybʼal esmaj jun pajbʼal
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	Njeel wu loʼn jexmaj rukʼ qʼatbʼal
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	                                                                                                  
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	Rknnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
