input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	#qum# El hombre que se ha tirado el pelo
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	# #qum# La mujer se ha ido
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	# La mujer se ha hecho el trabajo
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	La gente se ha echado
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	La gente se va a casa
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	# El hombre se ha hecho el mal
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	️️️️️️️️️️️️️️️️
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	# El hombre se ha acostado
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	#qum# El hombre se ha ido
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	Cuando se hace la fiesta se hace el día
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	#qum# El hombre se ha hecho el hombre
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	#qum# Cuando se le da la mano el pelo se levanta
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	# La gente se ha hecho animal
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	El hombre se ha hecho la
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	## El niño se ha ido
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	El hombre se ha ido
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	La cosa que se ha hecho
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	#El hombre se ha ido
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	El hombre se ha ido
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	The man who has gone home has not gone
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	The man has gone home
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	# La tierra está muy mal
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	El hombre le dio la mano
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	El hombre que se ha hecho hombre
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	La mujer se ha ido
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	# La gente se ha quedado en la casa
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	El hombre que se ha puesto en el
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	El hombre que se ha hecho el
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	Cuando se despalesa la tierra
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	El hombre se ha ido al cama
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	#qum# El hombre se fue
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	## La gente se ha hecho el herero
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	## El hombre se ha echado
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	El hombre que se ha hecho
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	El hombre se ha ido a casa
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	# El hombre se ha hecho el mal
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	#qum# El hombre se dio la vida
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	La mujer se ha hecho
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	## La mujer se ha ido a la cama
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	El hombre se ha hecho el pelo
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	#qum# El hombre se ha puesto en la
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	El hombre se ha quedado en la casa
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	When the work is done
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	#qum# El hombre se ha hecho
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	#qum# La gente se va a la calle
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	El hombre se ha puesto en la
Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	#qum# Con el doblador se hacen muñecas decoradas	El hombre se ha hecho hombre
Julajuuj chiij xeʼr tij ri sjiʼl	#qum# el coyote se comió l as once ovejas	#qum# El hombre le dio la mano
Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	#qum# El hombre se go lpeó la	El hombre se ha puesto en la
Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	#qum# El frujol blanco es delicioso comer en	## El niño se ha ido de la cama
El cerdo ensució el maíz	#qum# L avado	El hombre se fue
Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	#qum# La mujer hace lasos con la	## El hombre que se ha mudado de la casa
Chetzʼiʼnik rtijik ri qʼooqʼ	#qum# El ayote es bien rico pa ra comer	#qumadó el hombre se quedó en la cama
Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	#qum# Cerca murió el marido de la mujer	# # El hombre que se ha echado en la cama
Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	#qum# Todo el tamal estaba comido por las ratas	# La casa está abandonada
Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	#qum# Arena	El hombre se ha puesto en el
Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	#qum# El formón lo utiliza el carpintero	## La casa está cerrada
Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	#qum# El conejo cuando hay buena luna sale a comer el frijol	El hombre que se fue
Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	#qum# La mujer cuando mató a la gallina	El hombre se quedó en la casa
Ri rjujil uleew xsibʼrik wu riij	#qum# El documeto del terreno está ahumado	El hombre se ha puesto en la cama
Ri tzʼtuj ktij tochʼaʼ chu kwoy	#qum# La flor de milpa lo come las chorchas	El hombre se ha echado
Riliil riij xtloqʼxik ri uleew	#qum# Es necesario cuidar la naturaleza	#qum# El hombre se ha puesto en la
Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	#qum# La mayoría de los niños consumen mucha galguería	## El hombre que se quedó en la casa
Ataq kokik saqʼiij yaax keʼlik ri waakx	#qum# Cuando entra el verano las vacas se ponen flacos	El hombre se ha puesto en el suelo
Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	#qum# El niño se majó el dedo	El hombre que se ha hecho el
Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	#qum# Boca arriba	## La tierra está cerrada
Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	#qum# El niño no guantó porque se le regó agua	El hombre se ha ido a casa
Wu puʼt kxikʼnik chu taq ri kotzʼaj	#qum# La mariposa vuela entre las flores	The man has made himself
Njeel ri ya abʼ mixuʼtzrik	#qum# Todos los enfermos sanaron	The man who made himself the man gets up
Ri chnooj xchiqik kumu xqaaj teew chriij	#qum# La milpa se secó porque le cayó hielo	El hombre que se ha hecho
Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	#qum# El frijol amarillo da cuando se siembra	# El hombre se levanta
Ri yaʼ kʼolik rsaqiil	#qum# El agua tiene pureza	El hombre se puso el pelo
Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	#qum# El techo de la casa de mi papá se ve de forma triangulo	El hombre que se ha hecho
Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	#qum# Cuando el buhuo llega a	#qum# Cuando se fue a la casa
Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	#qum# La reunión de los estudiantes se hizo anteayer	# La mujer se ha ido de la casa
Ri nchuch kʼolik rmkoom	#qum# Mi mamá tiene sirvienta	El hombre se puso en la cama
Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	#qum# Los niños empezaron a llorar cuando perdieron	The man has gone from house to house
Ri qyolbʼaal areʼ ri Sipakapense	#qum# Nuestro idioma es el Sipakapense	## El hombre se ha hecho hombre
Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	#qum# Por un poco no alcanzo el fuego la otra casa	El hombre se ha quedado
Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	#qum# El mal de ojo les afecta a los	#qum# El hombre que se fue
Qal utz xtqtij ri chʼqaap	#qum# No es bueno comer el sobrante al otro día	## El hombre se ha hecho
Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	#qum# A todas las	El hombre se ha sacado
Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	# El hombre que se ha hecho
Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	El hombre se ha ido
Tukkilaʼ kʼolik r i rchoch ri wnobʼ	#qum# Por allá está la casa de mi hermana	The man has gone home
Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	#qum# Las flores que tiene sembrado mi mamá son de color rojo	El hombre lo puso en la cama
Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	#qum# Los trabajos de los antiguos ya no se encuentran	La mujer se ha ido
Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	#qum# El granizo golpeo la milpa	El hombre se ha ido
