input	reference	prediction
#qum# La esposa de don Jesus solo utiliza buena leña	wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	qum, is the only one that is unwholesome.
#qum# Todo la arveja se	Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	qumma is the whole of the wood
#qum# En nuestro pueblo ya no se usa nuestro idioma	Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	qumilil.comcom - Our village is no longer our language
#qum# El estudiante está aprendiendo como	Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	qumate is learning how to
#qum# La mujer estaba abrazada por su marido	Ri ixoq tzʼulmaj rum ri rchjiil	qumka, and the woman was embraced by her husband.
#qum# Mañana van a sembrar con don Francisco	Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	qumeni sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani sijemani is common common common common common common common common common common common common common common common common common common common common common common common common common common common common common
#qum# Alrededor de la casa hay un cerco	Chwoch ri jaay kʼolik jun tzʼapiibʼ	qum the house, and there is a siege around the house.
#qum# Ataq	Los jóvene s todos los días juegan en el campo Perjuicio	qum xqʼool
#qum# Cuando murió mi mamá me quedé en la tristeza	Ataq xchupik ri nchuch xinkanajken pri bʼiis	qumile when my mother died.
#qum# la mujer se murió de la matriz	Ri ixoq xchupik rum wu rchuch rkʼuʼx	qum) The woman died of the placenta.
#qum# Entre tres días nos encontramos para platicar del	Oxej xtqriq qiibʼ chi ryolik ri chaak	qum between three days, we shall meet to discuss the
#qum# A los niños no es bueno enseñarles a	Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	qum to the world, and it is not good for the children to be taught
#qum# La hoja de aliso es bueno para la broza	Ri rxaq limobʼ utz kchuknik chi ri qʼyees	qum-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue is also known as the blue-blue-blue-blue-blue-blue-blue is the leaf is good for the broch
#qum# El caballo se cayó por mucha carga	Ri keej xtzaqik rum wu xaq et rchim	qumilike to the horse and the horse was driven to the mount by too much load
#qum# El bebé resbaló en la cascara de la fruta	Ri ajkʼal kjilpji k pri riij loʼn	qum on the fruit-skin the baby jumped
#qum# El señor le dejo toda la tierra a su nieto	Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	qum all the land to his grandson
#qum# Los zapatos de la señorita les quedo flojo Jaula	Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	qumqqqq qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# La comadreja se terminó de comer las gallinas	Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	qumbo the chickens by the whore.
#qum# Cuatro mesas grandes servirán para comer	Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	qum, and four great tables will serve to eat
#qum# Todos los lapiceros ya están divididos a los niños	Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	qumle all the pencils are already divided among the boys
#qum# La mata de aguacate se está secando por el	Ri rqan ooj tjin rchiqik rum wu tzrabʼ	qum'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i
#qum# Cuando bajamos a la orilla del río es muy	Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	qumla to the bank of the river is very
#qum# El hombre cuando	Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	qum (i) the man when
#qum# La cara de la vaca se ve alargada	Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	qum-face-of-the-cattle-face-face-face-face-of-the-cattle-face-of-the-cattle-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-face-which is as such as that the face of the cattle may have been elongated
#qum# La araña come las moscas que están en la pared	Wu am kertij ri us ri ikʼoʼk chu xaan	qum the flying fox that is on the wall
#qum# Kkanjik	Ataq kpetik nim jabʼ xibʼal ri senyabʼ	qum ri xtzʼool
#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	qum, and therefore does not remain a household.
#qum# Vejez	Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	qumle the age of the age
#qum# Todo el maíz se apolillo	Njeel ri ixiim xpokʼrik	qum to the ground, and all corn will be
