input	reference	prediction
#qum# La esposa de don Jesus solo utiliza buena leña	wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	qum kʼiij ri rbʼal
#qum# Todo la arveja se	Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	qum ri xbʼiʼxik ri rkaʼbʼal
#qum# En nuestro pueblo ya no se usa nuestro idioma	Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	qum ri rwiʼ ri rkaʼy
#qum# El estudiante está aprendiendo como	Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	qum ri xtzʼoʼk ri rbʼaʼ
#qum# La mujer estaba abrazada por su marido	Ri ixoq tzʼulmaj rum ri rchjiil	qum ri kʼolik ri rqʼiij
#qum# Mañana van a sembrar con don Francisco	Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	qum ri xtʼiʼ ri rbʼal
#qum# Alrededor de la casa hay un cerco	Chwoch ri jaay kʼolik jun tzʼapiibʼ	qum kʼiij ri rkʼiij ri rkʼiʼj
#qum# Ataq	Los jóvene s todos los días juegan en el campo Perjuicio	qum ri rkʼaal ri ryaʼ xbʼaq ri rchʼal
#qum# Cuando murió mi mamá me quedé en la tristeza	Ataq xchupik ri nchuch xinkanajken pri bʼiis	qum ri xbʼeem ri kʼolik
#qum# la mujer se murió de la matriz	Ri ixoq xchupik rum wu rchuch rkʼuʼx	qum ri rkaʼ ri rkaʼyik
#qum# Entre tres días nos encontramos para platicar del	Oxej xtqriq qiibʼ chi ryolik ri chaak	qum ri rchʼ ri rkʼulul ri rqʼiij
#qum# A los niños no es bueno enseñarles a	Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	qum rxbʼal ri rchʼiʼ ri ajkʼaʼ
#qum# La hoja de aliso es bueno para la broza	Ri rxaq limobʼ utz kchuknik chi ri qʼyees	qum ri rbʼan ri rbʼal ri rchʼiʼ
#qum# El caballo se cayó por mucha carga	Ri keej xtzaqik rum wu xaq et rchim	qum xbʼan ri rbʼeem
#qum# El bebé resbaló en la cascara de la fruta	Ri ajkʼal kjilpji k pri riij loʼn	qum utz xbʼanik
#qum# El señor le dejo toda la tierra a su nieto	Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	qum ri ajkʼaʼl ri rbʼal
#qum# Los zapatos de la señorita les quedo flojo Jaula	Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	qum ri kʼolik ri rkʼoʼl
#qum# La comadreja se terminó de comer las gallinas	Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	qum ri rkʼal ri rkʼiij
#qum# Cuatro mesas grandes servirán para comer	Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	qum ri xbʼal ri rkʼiij
#qum# Todos los lapiceros ya están divididos a los niños	Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	qum utz xbʼan ri rbʼan
#qum# La mata de aguacate se está secando por el	Ri rqan ooj tjin rchiqik rum wu tzrabʼ	qum ri ajkʼal ri rkʼaaj
#qum# Cuando bajamos a la orilla del río es muy	Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	qum xtzaʼ ri rbʼal
#qum# El hombre cuando	Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	qum ri kchʼolik ri rkʼolik
#qum# La cara de la vaca se ve alargada	Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	qum xqʼiij ri rbʼanʼ
#qum# La araña come las moscas que están en la pared	Wu am kertij ri us ri ikʼoʼk chu xaan	qum ri rkaʼy ri rkʼaj ri rbʼanik ri rqʼiʼ
#qum# Kkanjik	Ataq kpetik nim jabʼ xibʼal ri senyabʼ	qum ri chʼiij ri rchʼal
#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	qumik ri rchʼiyik ri kʼiyik
#qum# Vejez	Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	qum kiryaʼ xqʼiij ri rchʼiʼ ri wnaq
#qum# Todo el maíz se apolillo	Njeel ri ixiim xpokʼrik	qum kʼolik ri rqʼiij
#qum# por el daño que el hombre está	Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	qum wu rkaʼj ri rbʼan
