input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	Título de Mi niña que no se le ha hecho falta
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	Título de la Casa de la Casa de la Casa de la Casa
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	Título de la Casa de la Casa de la Casa de la Casa
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	El hombre que no se ha hecho nada
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	️Toda la gente se ha visto
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	#qum# La gente se ha ido
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	El hombre que se ha ido de la tierra
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	Totoro de la casa de la casa de la casa de la casa de la casa de la casa
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	Título de la Casa de la Casa de la Casa de la Casa
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	️Armas de la casa de la casa de la casa
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	El hombre que no se ha hecho nada
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	#qum# El hombre que se ha hecho
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	Título de la Casa de la Mujer
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	## El hombre que se ha puesto en el mundo no se ha ido
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	El hombre que no se ha ido
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	La mujer tiene que
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	El hombre se quedó en la casa de su padre
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	Mi se ha hecho mucho que no se ha hecho nada
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	#qum# El hombre se ha quedado
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	#qum# La gente se queda en la casa cuando se va a
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	# El hombre que no se ha hecho nada
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	Tome el libro de la casa de los niños
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	Tasaruno cuando se fue
