input	reference	prediction
wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	#qum# La esposa de don Jesus solo utiliza buena leña	The man who got out of the house
Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	#qum# Todo la arveja se	El hombre que se ha hecho el hombre que se ha hecho el hombre que
Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	#qum# En nuestro pueblo ya no se usa nuestro idioma	The man who went to school didn't show up
Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	#qum# El estudiante está aprendiendo como	Man has become man
Ri ixoq tzʼulmaj rum ri rchjiil	#qum# La mujer estaba abrazada por su marido	The man stayed in the bed of the parents house
Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	#qum# Mañana van a sembrar con don Francisco	The man who went to school didn't have to be
Chwoch ri jaay kʼolik jun tzʼapiibʼ	#qum# Alrededor de la casa hay un cerco	The man stayed in the woman's place
Los jóvene s todos los días juegan en el campo Perjuicio	#qum# Ataq	The man has done the housework to get the kids off him
Ataq xchupik ri nchuch xinkanajken pri bʼiis	#qum# Cuando murió mi mamá me quedé en la tristeza	The man who has become the man has gone to Jesus' house
Ri ixoq xchupik rum wu rchuch rkʼuʼx	#qum# la mujer se murió de la matriz	El hombre que se fue a la casa
Oxej xtqriq qiibʼ chi ryolik ri chaak	#qum# Entre tres días nos encontramos para platicar del	The man who went home
Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	#qum# A los niños no es bueno enseñarles a	The man has gone doing the housework for
Ri rxaq limobʼ utz kchuknik chi ri qʼyees	#qum# La hoja de aliso es bueno para la broza	El hombre que se ha hecho el hombre que se ha hecho el hombre que se ha hecho el hombre que
Ri keej xtzaqik rum wu xaq et rchim	#qum# El caballo se cayó por mucha carga	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ri ajkʼal kjilpji k pri riij loʼn	#qum# El bebé resbaló en la cascara de la fruta	The man has gone to the woman's house
Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	#qum# El señor le dejo toda la tierra a su nieto	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	#qum# Los zapatos de la señorita les quedo flojo Jaula	The man who stays in the woman's house
Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	#qum# La comadreja se terminó de comer las gallinas	️️️️️️️️️️️️️️️️️️️️️️️️️️️
Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	#qum# Cuatro mesas grandes servirán para comer	The man has not gone to the house of the
Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	#qum# Todos los lapiceros ya están divididos a los niños	The man has gone to his father's house
Ri rqan ooj tjin rchiqik rum wu tzrabʼ	#qum# La mata de aguacate se está secando por el	The man left for the garden of the house
Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	#qum# Cuando bajamos a la orilla del río es muy	The man has gone to the woman's house for her to be awakened
Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	#qum# El hombre cuando	The man who went to the house of Jesus
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	The man has gone to his father's house
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	The man who went home
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	The man who stayed in the house
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	The man has gone to the woman's house
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	The man who made man
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	The man has stayed at the mother's house.
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	El hombre se puso en la tierra para que no se
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	The man went to his father's house
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	The man left the house to make the house
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	The man has gone doing everything he can to do
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	The man who left the woman's house went to the woman's house
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	"""El hombre que se ha hecho hombre que se ha hecho hombre que se ha hecho hombre"
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	El hombre se ha hecho el hombre que se ha hecho
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	The man has gone doing the work so that you can
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	The man who was made for the man who was made for the man is
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	"""Man has become man"
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	It's very good that there is no one left
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	In most cases the child has been
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	The man who has gone to earth
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	The man has gone to the men's house
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	The man stayed in the house when he was seen
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	The man who has gone to his father's house
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	"""El hombre se hizo el hombre que se hizo el hombre"""
